Timestamp,Open,High,Low,Close,Volume,Open Interest
2025-06-02 09:15:00,48000.0,48019.09,47986.2,48012.44,671560,0
2025-06-02 09:20:00,48012.44,48021.43,48012.32,48019.19,777823,0
2025-06-02 09:25:00,48019.19,48040.64,48018.72,48035.14,1417940,0
2025-06-02 09:30:00,48035.14,48053.65,48032.54,48047.57,774481,0
2025-06-02 09:35:00,48047.57,48065.29,48046.27,48064.93,882524,0
2025-06-02 09:40:00,48064.93,48089.49,48061.9,48088.39,1011662,0
2025-06-02 09:45:00,48088.39,48106.2,48085.48,48103.62,1205359,0
2025-06-02 09:50:00,48103.62,48142.42,48099.99,48139.54,935498,0
2025-06-02 09:55:00,48139.54,48167.05,48138.74,48159.07,845565,0
2025-06-02 10:00:00,48159.07,48163.67,48148.86,48154.11,1187710,0
2025-06-02 10:05:00,48154.11,48155.75,48144.46,48145.29,1109721,0
2025-06-02 10:10:00,48145.29,48158.82,48140.49,48157.24,1080015,0
2025-06-02 10:15:00,48157.24,48170.61,48146.93,48166.14,948622,0
2025-06-02 10:20:00,48166.14,48170.66,48161.6,48163.54,1461475,0
2025-06-02 10:25:00,48163.54,48170.39,48140.57,48152.48,954874,0
2025-06-02 10:30:00,48152.48,48157.99,48147.45,48153.84,1244820,0
2025-06-02 10:35:00,48153.84,48157.11,48145.01,48151.08,956425,0
2025-06-02 10:40:00,48151.08,48159.09,48127.67,48134.17,1233679,0
2025-06-02 10:45:00,48134.17,48139.05,48130.76,48133.79,1049480,0
2025-06-02 10:50:00,48133.79,48146.55,48130.56,48144.37,854326,0
2025-06-02 10:55:00,48144.37,48147.07,48135.25,48143.71,1149399,0
2025-06-02 11:00:00,48143.71,48143.79,48135.33,48138.73,1158841,0
2025-06-02 11:05:00,48138.73,48149.42,48135.74,48148.72,1026062,0
2025-06-02 11:10:00,48148.72,48158.96,48119.83,48129.19,798520,0
2025-06-02 11:15:00,48129.19,48138.19,48126.51,48131.78,1402758,0
2025-06-02 11:20:00,48131.78,48137.0,48122.62,48129.22,951175,0
2025-06-02 11:25:00,48129.22,48131.62,48111.03,48116.97,543050,0
2025-06-02 11:30:00,48116.97,48123.56,48112.77,48121.88,590735,0
2025-06-02 11:35:00,48121.88,48129.7,48120.24,48125.96,1026936,0
2025-06-02 11:40:00,48125.96,48153.16,48118.72,48151.46,1181299,0
2025-06-02 11:45:00,48151.46,48172.39,48145.56,48162.78,1163640,0
2025-06-02 11:50:00,48162.78,48196.54,48158.25,48188.13,848800,0
2025-06-02 11:55:00,48188.13,48200.52,48183.64,48190.79,946600,0
2025-06-02 12:00:00,48190.79,48197.97,48170.26,48172.47,1342997,0
2025-06-02 12:05:00,48172.47,48218.57,48169.54,48197.97,830602,0
2025-06-02 12:10:00,48197.97,48199.86,48170.26,48176.01,985166,0
2025-06-02 12:15:00,48176.01,48177.01,48156.16,48163.69,1108704,0
2025-06-02 12:20:00,48163.69,48171.02,48148.36,48160.2,871582,0
2025-06-02 12:25:00,48160.2,48172.9,48159.28,48160.39,1295791,0
2025-06-02 12:30:00,48160.39,48168.77,48148.38,48155.21,808359,0
2025-06-02 12:35:00,48155.21,48191.65,48149.28,48185.85,882310,0
2025-06-02 12:40:00,48185.85,48211.23,48184.74,48208.51,1101092,0
2025-06-02 12:45:00,48208.51,48211.66,48203.53,48206.74,641154,0
2025-06-02 12:50:00,48206.74,48207.96,48178.89,48190.05,1131442,0
2025-06-02 12:55:00,48190.05,48192.08,48176.8,48186.03,1085924,0
2025-06-02 13:00:00,48186.03,48193.86,48178.01,48181.04,1485674,0
2025-06-02 13:05:00,48181.04,48192.87,48171.37,48184.21,1511141,0
